Num_Circo;Nom;Prenom;Nb_Voix
077-03;THIÉRIOT;Jean-Louis;18422
077-03;GÉRÔME-DELGADO;Elodie;14072
077-04;PERIGAULT;Isabelle;18866
077-04;DUROX;Aymeric;18007
077-05;RIESTER;Franck;17949
077-05;LENORMAND;François;15782
077-06;ROULLAUD;Béatrice;15399
077-06;DELAGE;Valérie;14144
077-07;SOUDAIS;Ersilia;16732
077-07;BERNARD;Didier;15880
077-08;GHOMI;Hadrien;19323
077-08;BONNET;Arnaud;19319
077-09;PEYRON;Michèle;17454
077-09;NOVAIS;Pascal;15709
077-10;LAISNEY;Maxime;17724
077-10;DO;Stéphanie;14880
077-11;FAURE;Olivier;15453
077-11;PÉCULIER;Charlyne;8522
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
079-01;MARCHIVE;Bastien;22511
079-01;CHARRON;François;20788
079-02;BATHO;Delphine;25014
079-02;ROCHEFORT;Cécilia;18201
079-03;FIÉVET;Jean-Marie;20675
079-03;WOILLEZ;Juliette;14805
080-01;RUFFIN;François;14362
080-01;RIBEIRO-BILLET;Nathalie;10831
;;;
080-03;MAQUET;Emmanuel;21266
080-03;LOTTIN;Nicolas;18250
080-04;TANGUY;Jean-Philippe;21136
080-04;LECLABART;Jean-Claude;17584
080-05;MENACHE;Yael;20859
080-05;ANCELET;Guillaume;13453
081-01;CABROLIER;Frédéric;19125
081-01;POUJADE;Gérard;16900
081-02;ERODI;Karen;22633
081-02;VERDIER-JOUCLAS;Marie-Christine;21151
081-02;BACOU;Julien;16564
081-03;TERLIER;Jean;25496
081-03;LASSALLE;Julien;21978
082-01;RABAULT;Valérie;25327
082-01;POMA;Pierre;18121
082-02;HAMELET;Marine;23678
082-02;ASTRUC;Christian;19384
;;;
083-02;LAVALETTE;Laure;13476
083-02;MUSSO;Ange;11960
083-03;RAMBAUD;Stephane;10241
083-03;MONFORT;Isabelle;9994
083-04;LOTTIAUX;Philippe;25581
083-04;MAUBORGNE;Sereine;22098
083-05;LECHANTEUX;Julie;24342
083-05;MICHEL-KLEISBAUER;Philippe;19142
083-06;GILETTI;Frank;30238
083-06;GOMEZ-BASSAC;Valérie;23167
083-07;BOCCALETTI;Frédéric;13541
083-07;MUSCHOTTI;Cécile;12584
083-08;SCHRECK;Philippe;25576
083-08;MATRAS;Fabien;20988
;;;
084-02;AUZANOT;Bénédicte;19210
084-02;VIALA;Sylvie;17608
084-03;DE LÉPINAU;Hervé;19604
084-03;MORENAS;Adrien;13723
084-04;LORHO;Marie-France;21878
084-04;RICHARD;Violaine;16529
084-05;LOVISOLO;Jean-François;18564
084-05;THOMAS DE MALEVILLE;Marie;17975
085-01;LATOMBE;Philippe;24039
085-01;ETONNO;Lucie;17229
085-02;BELLAMY;Béatrice;23773
085-02;HELARY;Nicolas;15664
085-03;BUCHOU;Stéphane;36145
085-03;FILLET;Corinne;22644
085-04;BESSE;Véronique;23336
085-04;LEGUILLE-BALLOY;Martine;15761
085-05;HENRIET;Pierre;22296
085-05;MAGNIN;Isabelle;14291
086-01;BELLUCO;Lisa;18918
086-01;BALLET-BLU;Françoise;17917
086-02;HOULIÉ;Sacha;20267
086-02;SOUMAILLE;Valérie;19325
086-03;LECAMP;Pascal;17496
086-03;SOULAT;Eric;14823
086-04;TURQUOIS;Nicolas;16938
086-04;LATUS;Marion;14098
087-01;MAUDET;Damien;20710
087-01;BEAUDOUIN HUBIERE;Sophie;18065
087-02;DELAUTRETTE;Stéphane;26730
087-02;MINGUET;Sabrina;16757
087-03;MEUNIER;Manon;19551
087-03;SARDIN;Geoffroy;17976
088-01;VIRY;Stéphane;21448
088-01;MOONS;Emmie;10453
088-02;VALENCE;David;15823
088-02;DUSSAUSAYE;Gaëtan;15481
088-03;NAEGELEN;Christophe;21035
088-03;FRANÇOIS;Pierre;7288
088-04;GAULTIER;Jean-Jacques;15440
088-04;HUMBERT;Sébastien;14300
089-01;GRENON;Daniel;16864
089-01;LOURY;Florence;16135
089-02;VILLIERS;André;16750
089-02;LOPEZ;Audrey;15883
089-03;ODOUL;Julien;21429
089-03;CROUZET;Michèle;16949
090-01;BOUCARD;Ian;12037
090-01;SOUSTELLE;Christophe;7500
090-02;CHAUCHE;Florian;9476
090-02;CARNICER;Sophie;8971
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
971-01;SERVA;Olivier;15624
971-01;BIRAS;Dominique;5478
971-02;BAPTISTE;Christian;15484
971-02;BENIN;Justine;10915
971-03;MATHIASIN;Max;12402
971-03;TOLASSY;Rody;11393
971-04;CALIFER;Elie;10633
972-01;WILLIAM;Jiovanny;11336
972-01;EDMOND-MARIETTE;Philippe;6675
972-02;NADEAU;Marcellin;12764
972-02;PAMPHILE;Justin;7348
972-03;HAJJAR;Johnny;7813
972-03;CAROLE;Francis;5489
972-04;NILOR;Jean-Philippe;15329
972-04;MARIE-JEANNE;Alfred;6149
973-01;CASTOR;Jean-Victor;9038
973-01;GOUA;Yvane;6951
973-02;RIMANE;Davy;8277
973-02;ADAM;Lénaïck;7014
974-01;NAILLET;Philippe;14876
974-01;MOREL;Jean Jacques;9639
974-02;LEBON;Karine;18164
974-02;FONTAINE;Audrey;8008
974-03;BASSIRE;Nathalie;15186
974-03;THIEN-AH-KOON;Patrice;14091
974-04;K/BIDI;Emeline;27532
974-04;LORION;David;17363
974-05;RATENON;Jean-Hugues;17748
974-05;ISSA;Ridwane;10510
974-06;MAILLOT;Frédéric;12659
974-06;LAÏ-KANE-CHEONG;Alexandre;11229
974-07;GAILLARD;Perceval;18372
974-07;ROBERT;Thierry;17483
975-01;LENORMAND;Stéphane;1329
975-01;GASTON;Olivier;1310
976-01;YOUSSOUFFA;Estelle;12180
976-01;NARAYANIN;Théophane;6115
976-02;KAMARDINE;Mansour;14250
976-02;ISSA ABDOU;Issa;9806
977-01;GUMBS;Frantz;3921
977-01;GIBBS;Daniel;1913
986-01;SEO;Mikaele;3717
986-01;MULUKIHAAMEA;Etuato;3701
987-01;LE GAYIC;Tematai;19523
987-01;BOUTEAU;Nicole;18851
987-02;CHAILLOUX;Steve;19978
987-02;TERIITAHI;Tepuaraurii;13947
987-03;BROTHERSON;Moetai;21937
987-03;TUMAHAI;Tuterai;13837
988-01;DUNOYER;Philippe;25652
988-01;WAHETRA;Walisaune;12979
988-02;METZDORF;Nicolas;31398
988-02;REIGNIER;Gérard;26500
