Num_Circo;Nom;Prenom;Nb_Voix
024-01;MARTIN;Pascale;18366
024-01;CHASSAING;Philippe;17053
024-02;MULLER;Serge;18891
024-02;DELPON;Michel;18561
024-03;CUBERTAFON;Jean-Pierre;14284
024-03;GIRARDEAU;Cyril;13335
024-03;JOUBERT;Florence;11491
024-04;PEYTAVIE;Sébastien;24262
024-04;DUBOIS;Jacqueline;19441
025-01;CROIZIER;Laurent;17465
025-01;VEZIES;Séverine;16198
025-02;ALAUZET;Eric;19258
025-02;RAVACLEY;Stéphane;17594
025-03;PACQUOT;Nicolas;13754
025-03;FRITSCH;Nathalie;13303
025-04;GRANGIER;Géraldine;13357
025-04;BARBIER;Frédéric;12837
025-05;GENEVARD;Annie;22678
025-05;ALPY;Philippe;8795
026-01;CLAPOT;Mireille;17769
026-01;CHKERI;Karim;14884
026-02;POLLET;Lisette;21566
026-02;REYNAUD;Gilles;16189
026-03;POCHON;Marie;29635
026-03;DE LAVERGNE;Célia;27118
026-04;ANTHOINE;Emmanuelle;27076
026-04;JOUVET;Pierre;19685
027-01;LOIR;Christine;18575
027-01;GIPSON;Séverine;18117
027-02;LEVAVASSEUR;Katiana;17990
027-02;GOUTTEFARDE;Fabien;17215
027-03;MAUVIEUX;Kévin;21161
027-03;TAMARELLE-VERHAEGHE;Marie;17989
027-04;BRUN;Philippe;19824
027-04;SAULIÈRE;Chrystelle;19476
027-05;HOUSSIN;Timothée;19654
027-05;OUZILLEAU;François;19165
028-01;KASBARIAN;Guillaume;16891
028-01;GUILLEMAIN;Quentin;11792
028-02;MARLEIX;Olivier;17957
028-02;NIKOLIC;Aleksandar;10854
028-03;LAMIRAULT;Luc;16055
028-03;FLAUNET;Régine;13701
028-04;VIGIER;Philippe;17674
028-04;DE OLIVEIRA;Virginia;11699
029-01;LE MEUR;Annaïg;25447
029-01;LEBERT;Grégory;21772
029-02;LARSONNEUR;Jean-Charles;18127
029-02;CADALEN;Pierre-Yves;18009
029-03;LE GAC;Didier;25169
029-03;SMOLARZ;Pierre;18298
029-04;LE FEUR;Sandrine;22872
029-04;VULPIANI;Sylvaine;19169
029-05;MELCHIOR;Graziella;25451
029-05;SARRABEZOLLES;Nathalie;21184
029-06;THOMIN;Mélanie;23948
029-06;FERRAND;Richard;23144
029-07;TANGUY;Liliana;21942
029-07;BOUIN;Yolande;20046
029-08;BALANANT;Erwan;22682
029-08;LE FLAO;Youenn;20536
030-01;GILLET;Yoann;10565
030-01;DUMAS;Françoise;6724
030-02;MEIZONNET;Nicolas;22595
030-02;LACHAUD;Yvan;17287
030-03;BORDES;Pascale;21619
030-03;CELLIER;Anthony;20506
030-04;MEURIN;Pierre;18953
030-04;BORD;Arnaud;15616
030-05;SALA;Michel;21192
030-05;LAUNAY;Jean-Marie;18595
030-06;BERTA;Philippe;8856
030-06;CADÈNE;Nicolas;7515
;;;
;;;
;;;
;;;
031-05;PORTARRIEU;Jean-François;21778
031-05;ESPAGNOLLE;Sylvie;20194
;;;
031-07;BEX;Christophe;15788
031-07;TOUTUT-PICARD;Elisabeth;14335
031-08;AVIRAGNET;Joël;22457
031-08;DELCHARD;Loic;14607
031-09;ARRIGHI;Christine;7659
031-09;MÖRCH;Sandrine;7029
031-10;FAURE;Dominique;21724
031-10;ASSIER;Alice;21528
032-01;CAZENEUVE;Jean-René;18822
032-01;LEVIEUX;Pascal;17025
032-02;TAUPIAC;David;22203
032-02;BOURCIER;Maëva;13052
;;;
;;;
;;;
033-04;DAVID;Alain;18971
033-04;KARACA;Melissa;13878
033-05;DE FOURNAS;Grégoire;21778
033-05;MANEIRO;Olivier;16552
;;;
033-07;COUILLARD;Bérangère;20964
033-07;FERRAN;Jean-Renaud;18809
033-08;PANONACLE;Sophie;31442
033-08;LAMARA;Laurent;20965
033-09;METTE;Sophie;22950
033-09;ANDRÉ;Sacha;22506
033-10;BOUDIÉ;Florent;15370
033-10;CHADOURNE;Sandrine;14536
033-11;DIAZ;Edwige;25092
033-11;HAMMERER;Véronique;17653
033-12;LAVERGNE;Pascal;20364
033-12;FELD;Mathilde;20181
034-01;MIRALLES;Patricia;12215
034-01;COLET;Julien;7706
;;;
034-03;CRISTOL;Laurence;21036
034-03;MIGNACCA;Julia;16975
034-04;ROME;Sébastien;26291
034-04;BOUQUIN;Manon;25617
034-05;GALZY;Stéphanie;23695
034-05;POLARD;Pierre;19990
034-06;MÉNARD;Emmanuelle;14374
